,parlgov_id,cmp_id
1,KPO.AUT,42220
2,OVP.AUT,42520
3,SPO.AUT,42320
7,FPO.AUT,42420
11,ApE.AUT,
42,DFP.AUT,
68,Gruene.AUT,42110
77,LIF.AUT,42421
106,BZO.AUT,42710
123,NEOS.AUT,
126,TS.AUT,
127,BSP-PSB.BEL,21320
128,KLS.BEL,
129,KPB-PCB.BEL,
130,LP-PL.BEL,21420
131,PSC-CVP.BEL,21520
132,UDB.BEL,21913
179,LC.BEL,
182,VU.BEL,21913
201,one-seat.BEL,
203,FDF.BEL,21912
217,CVP.BEL,21521
221,PSC-CDH.BEL,21522
222,RW.BEL,21911
228,PL(B).BEL,21424
229,PRL.BEL,21422
231,PVV|VLD.BEL,21421
299,PS.BEL,21322
303,RvA-UpD.BEL,
304,SP.BEL,21320
305,VB.BEL,21917
359,AGL-Gr.BEL,21112
361,Ecolo.BEL,21111
412,FN.BEL,21912
417,ROSSEM.BEL,
459,MR.BEL,21426
460,N-VA.BEL,21916
464,SPa+Spi.BEL,21321
467,CD+NVA.BEL,21916
470,LD.BEL,21430
532,Pp.BEL,21913
554,PA-PT.BEL,
574,BP.DEU,41911
575,CDU+CSU.DEU,41521
576,DP.DEU,41620
577,DRP.DEU,41712
578,DZ.DEU,41522
579,FDP.DEU,41420
580,KPD.DEU,41220
581,SPD.DEU,41320
582,WAV.DEU,41711
583,none.DEU,
584,one-seat.DEU,
589,GB/BHE.DEU,
601,FVP.DEU,41420
643,B90/Gru.DEU,41111
653,Gr/B90.DEU,41111
654,Li/PDS.DEU,41221
683,CSU.DEU,41521
686,DKP.DNK,13220
687,DS.DNK,13953
688,GrFa.DNK,
689,KF.DNK,13620
690,RF.DNK,13952
691,RV.DNK,13410
692,Sd.DNK,13320
693,V.DNK,13420
727,SP.DNK,
754,DU.DNK,13421
758,SF.DNK,13230
779,LC.DNK,13422
790,VS.DNK,13210
803,CD.DNK,13330
806,FrP.DNK,13951
809,KrF.DNK,13520
896,FK.DNK,13221
933,En-O.DNK,
941,none.DNK,
943,DF.DNK,13720
967,IA.DNK,13951
987,NLA.DNK,13001
990,Sbf.DNK,
1006,Jf.DNK,
1013,Si.DNK,13320
1027,IK.FIN,14221
1028,KESK.FIN,14810
1029,KOK.FIN,14620
1030,L.FIN,14420
1031,PMP.FIN,14820
1032,RKP-SFP.FIN,14901
1033,SSDP.FIN,14320
1034,DL|VAS.FIN,14223
1042,none.FIN,
1049,SV.FIN,14223
1058,AS.FIN,14901
1135,TPSL.FIN,14310
1185,VL.FIN,14420
1211,SP-P.FIN,14820
1225,KD.FIN,14520
1286,SKYP.FIN,
1296,POP.FIN,
1370,VIHR.FIN,14110
1373,Deva.FIN,14222
1413,Eko.FIN,
1417,NSP.FIN,14430
1428,Rt.FIN,
1517,CnT.IRL,53810
1518,FF.IRL,53620
1519,FG.IRL,53520
1520,Lab.IRL,53320
1521,NL.IRL,
1522,none.IRL,
1523,CnP.IRL,53714
1547,SFWP.IRL,53220
1561,NPD.IRL,53420
1591,H-B.IRL,
1595,one-seat.IRL,
1606,DSP.IRL,
1610,PD.IRL,53420
1616,Green.IRL,53110
1629,DLP.IRL,53221
1649,PSF.IRL,
1650,SP.IRL,53230
1655,I-MH.IRL,
1678,PBPA.IRL,53231
1681,ULA.IRL,53021
1683,A.ISL,15320
1684,F.ISL,15810
1685,SA-S.ISL,15220
1686,Sj.ISL,15620
1687,none.ISL,
1712,Thva.ISL,15710
1714,Ab.ISL,15220
1750,Sfvm.ISL,15322
1772,BJ.ISL,15321
1774,KL.ISL,15951
1778,Bf.ISL,15621
1782,Sjf.ISL,
1807,Th-Ff.ISL,15323
1809,Ff.ISL,15420
1810,Graen.ISL,15111
1811,Sam.ISL,15328
1838,B-H.ISL,15620
1843,BF.ISL,15440
1846,Pi.ISL,15952
1849,CSV.LUX,23520
1850,DP.LUX,23420
1851,KPL.LUX,23220
1852,LSAP.LUX,23320
1853,one-seat.LUX,
1887,MPI.LUX,
1896,SDP.LUX,
1901,PSI.LUX,
1903,Z-EF.LUX,
1906,Greng.LUX,23113
1909,AR|ADR.LUX,23951
1912,GAP.LUX,23113
1913,GLEI.LUX,23113
1928,DL.LUX,23230
1955,ARP.NLD,22523
1956,CHU.NLD,22525
1957,CPN.NLD,22210
1958,KVP.NLD,22522
1959,PvdA.NLD,22320
1960,SGP.NLD,22952
1961,VVD.NLD,22420
1965,KNP.NLD,
2004,PSP.NLD,22230
2009,Bp.NLD,
2012,GPV.NLD,22527
2042,D66.NLD,22330
2054,DS70.NLD,22524
2057,MP.NLD,
2058,PPR.NLD,22310
2077,none.NLD,
2091,one-seat.NLD,
2094,CDA.NLD,22521
2123,RPF.NLD,22528
2137,CP.NLD,
2157,CD.NLD,22711
2160,GL.NLD,22110
2166,AOV|VSP.NLD,22954
2175,SP.NLD,22220
2188,CU.NLD,22526
2191,LN.NLD,22430
2192,LPF.NLD,22720
2221,PVV.NLD,22722
2232,PvdD.NLD,22951
2267,50+.NLD,22953
2278,DNA.NOR,12320
2279,H.NOR,12620
2280,KrF.NOR,12520
2281,NKP.NOR,12220
2282,Sp.NOR,12810
2283,V.NOR,12420
2315,SF.NOR,12221
2352,DLF.NOR,12410
2354,Fr.NOR,12951
2357,SV.NOR,12221
2412,one-seat.NOR,
2424,RV.NOR,
2439,Kp.NOR,
2478,MDG.NOR,
2482,C.SWE,11810
2483,FP.SWE,11420
2484,M.SWE,11620
2485,SAP.SWE,11320
2486,V.SWE,11220
2530,MbS.SWE,
2580,KD.SWE,11520
2593,MP.SWE,11110
2606,NyD.SWE,11951
2650,SD.SWE,11710